,Nombre,Championships,involvements,Grands,no,teammates,seasons,constructors,engine,models,retirements,33,pole,69,2,fastests,13,podiums,48,00,teammate,season,constructor,27,model,win,29,6,71,1,retirement,34,wins,06,86,23,10,35,63,14,45,42,15,5,20,61,30,65,57,21,31,4,75,87,19,74,involvement,50,72,17,Grand,67,podium,3,8,54,12,92,28,85,18,68,59,09,55
30,George Fonder,0,4,2,4,2,5,5,2,6,,,,,,,,,,50,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Adderly Fong,0,,,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
32,Norberto Fontana,0,,4,,,,,1,,,,,,,,,,,25,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Carl Forberg,0,3,,2,,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
34,Gene Force,0,4,2,3,5,5,5,1,6,2,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Franco Forini,0,3,2,1,,,,1,,2,,,,,,,,,100,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Philip Fotheringham-parker,0,12,,,,,,1,,,,,,,,,,,100,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,00,,,,,,,,
37,Aj Foyt,0,6,3,3,6,5,4,3,4,2,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,66,,,,,,,,,,,,,
38,Dick Fraizer,0,,,2,,2,2,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Giorgio Francia,0,,,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Don Freeland,0,,8,,,8,3,1,5,4,,,,,,,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,12,,,,,1,,,,,,,,,,,,
41,Heinz-harald Frentzen,0,161,156,5,13,10,5,8,13,68,,2,,92,6,,18,,,,,,,,,,28,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,1,3,85,54,43,,
42,Paul Frere,0,2,11,,16,5,4,3,6,6,,,,55,,,,,,,,,,,,,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,54
43,Patrick Friesacher,0,,11,,,,,1,2,6,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
44,Robin Frijns,0,2,,,2,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Joe Fry,0,2,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
46,Andy Furci,0,,,1,,,,1,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hiroshi Fushida,0,,,2,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
